"mgs" "delta" "fdr" "association" "annotation" "direction" "name"
"hip.lm.1" "MF0025" 0.935483870967742 0.0962812858762524 "hip" "tryptophan degradation" "Positive" "MF0025:tryptophan degradation"
"hip.lm.2" "MF0034" 0.971612903225806 0.0962812858762524 "hip" "alanine degradation II" "Positive" "MF0034:alanine degradation II"
"hip.lm.3" "MF0032" 0.176774193548387 0.0962812858762524 "hip" "glutamate degradation III" "Positive" "MF0032:glutamate degradation III"
"hip.lm.4" "MF0080" 0.938064516129032 0.0962812858762524 "hip" "lactate consumption II" "Positive" "MF0080:lactate consumption II"
"hip.lm.5" "MF0005" 0.99741935483871 0.0962812858762524 "hip" "starch degradation" "Positive" "MF0005:starch degradation"
"hip.lm.6" "MF0088" 0.987096774193548 0.0962812858762524 "hip" "butyrate production I" "Positive" "MF0088:butyrate production I"
"hip.lm.7" "MF0075" 0.994838709677419 0.0962812858762524 "hip" "acetate to acetyl-CoA" "Positive" "MF0075:acetate to acetyl-CoA"
"hip.lm.8" "MF0057" 0.943225806451613 0.0962812858762524 "hip" "lysine degradation I" "Positive" "MF0057:lysine degradation I"
"ASAT.lm.1" "MF0032" 0.176774193548387 0.069783234853548 "ASAT" "glutamate degradation III" "Positive" "MF0032:glutamate degradation III"
"ASAT.lm.2" "MF0007" 0.948387096774194 0.00992321495672342 "ASAT" "lactose and galactose degradation" "Positive" "MF0007:lactose and galactose degradation"
"waist.lm.1" "MF0027" 0.752258064516129 0.0905414851768207 "waist" "tyrosine degradation II" "Positive" "MF0027:tyrosine degradation II"
"waist.lm.2" "MF0025" 0.935483870967742 0.076682857526175 "waist" "tryptophan degradation" "Positive" "MF0025:tryptophan degradation"
"waist.lm.3" "MF0037" 0.698064516129032 0.076682857526175 "waist" "leucine degradation" "Positive" "MF0037:leucine degradation"
"waist.lm.4" "MF0034" 0.971612903225806 0.076682857526175 "waist" "alanine degradation II" "Positive" "MF0034:alanine degradation II"
"waist.lm.5" "MF0035" 0.994838709677419 0.076682857526175 "waist" "glycine degradation" "Positive" "MF0035:glycine degradation"
"waist.lm.6" "MF0032" 0.176774193548387 0.076682857526175 "waist" "glutamate degradation III" "Positive" "MF0032:glutamate degradation III"
"waist.lm.7" "MF0033" 0.298064516129032 0.076682857526175 "waist" "alanine degradation I" "Positive" "MF0033:alanine degradation I"
