"mgs" "delta" "fdr" "association" "spps" "direction" "name"
"liverfat.lm.1" "MGS.igc0092" -0.718709677419355 0.00660894480223085 "liverfat" "Anaerostipes sp. 3_2_56FAA" "Negative" "MGS.igc0092:Anaerostipes sp. 3_2_56FAA"
"liverfat.lm.2" "MGS.igc0190" 0.0658064516129032 0.0108540006413459 "liverfat" "Lactococcus lactis" "Positive" "MGS.igc0190:Lactococcus lactis"
"liverfat.lm.3" "MGS.igc0294" 0.966451612903226 0.0823005075632436 "liverfat" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"liverfat.lm.4" "MGS.igc0373" -0.470967741935484 0.0445267975373152 "liverfat" "Veillonella sp." "Negative" "MGS.igc0373:Veillonella sp."
"liverfat.lm.5" "MGS.igc0393" 0.2 0.032075861367068 "liverfat" "Clostridiaceae sp." "Positive" "MGS.igc0393:Clostridiaceae sp."
"liverfat.lm.6" "MGS.igc0415" -0.571612903225806 0.0472148662922322 "liverfat" "Tyzzerella nexilis" "Negative" "MGS.igc0415:Tyzzerella nexilis"
"liverfat.lm.7" "MGS.igc0667" 0.140645161290323 0.0524006048713501 "liverfat" "Clostridiales sp." "Positive" "MGS.igc0667:Clostridiales sp."
"liverfat.lm.8" "MGS.igc0735" -0.553548387096774 0.0628721814730824 "liverfat" "Bacteria sp." "Negative" "MGS.igc0735:Bacteria sp."
"liverfat.lm.9" "MGS.igc0788" -0.28258064516129 0.047756680604187 "liverfat" "Massiliomicrobiota timonensis" "Negative" "MGS.igc0788:Massiliomicrobiota timonensis"
"liverfat.lm.10" "MGS.igc0858" 0.535483870967742 0.0478726862676113 "liverfat" "Dialister invisus" "Positive" "MGS.igc0858:Dialister invisus"
"liverfat.lm.11" "MGS.igc0874" 0.0270967741935484 0.032075861367068 "liverfat" "[Clostridium] spiroforme" "Positive" "MGS.igc0874:[Clostridium] spiroforme"
"liverfat.lm.12" "MGS.igc0889" 0.169032258064516 0.0108540006413459 "liverfat" "Coprobacillus sp. 8_1_38FAA" "Positive" "MGS.igc0889:Coprobacillus sp. 8_1_38FAA"
"liverfat.lm.13" "MGS.igc0913" -0.796129032258065 0.00991224862071138 "liverfat" "Faecalicoccus pleomorphus" "Negative" "MGS.igc0913:Faecalicoccus pleomorphus"
"liverfat.lm.14" "MGS.igc1298" -0.747096774193548 0.0205780615327393 "liverfat" "Gordonibacter sp. An232A" "Negative" "MGS.igc1298:Gordonibacter sp. An232A"
"hdl.lm.1" "MGS.igc0023" -0.406451612903226 0.0315509277708625 "hdl" "Bacteroides nordii" "Negative" "MGS.igc0023:Bacteroides nordii"
"hdl.lm.2" "MGS.igc0065" -0.481290322580645 0.000363823133640433 "hdl" "Lachnospiraceae sp." "Negative" "MGS.igc0065:Lachnospiraceae sp."
"hdl.lm.3" "MGS.igc0227" 0.176774193548387 0.0315509277708625 "hdl" "Clostridiales sp." "Positive" "MGS.igc0227:Clostridiales sp."
"hdl.lm.4" "MGS.igc0268" 0.409032258064516 0.0213398478153262 "hdl" "Clostridiales sp." "Positive" "MGS.igc0268:Clostridiales sp."
"hdl.lm.5" "MGS.igc0388" 0.852903225806452 0.0750300343026277 "hdl" "Clostridium phoceensis" "Positive" "MGS.igc0388:Clostridium phoceensis"
"hdl.lm.6" "MGS.igc0532" -0.393548387096774 0.015949595682065 "hdl" "Unknown sp." "Negative" "MGS.igc0532:Unknown sp."
