"mgs" "delta" "fdr" "association" "genus" "direction" "name"
"liverfat.lm.1" "MGS.igc0009" -0.525161290322581 0.0800019472252247 "liverfat" "Haemophilus" "Negative" "MGS.igc0009:Haemophilus"
"liverfat.lm.2" "MGS.igc0142" 0.99741935483871 0.0782678235473773 "liverfat" "Blautia" "Positive" "MGS.igc0142:Blautia"
"liverfat.lm.3" "MGS.igc0190" 0.267096774193548 0.00420961175116726 "liverfat" "Lactococcus" "Positive" "MGS.igc0190:Lactococcus"
"liverfat.lm.4" "MGS.igc0294" 0.994838709677419 0.0190494078618967 "liverfat" "Dorea" "Positive" "MGS.igc0294:Dorea"
"liverfat.lm.5" "MGS.igc0393" 0.401290322580645 0.0123225653067687 "liverfat" "Clostridiaceae sp." "Positive" "MGS.igc0393:Clostridiaceae sp."
"liverfat.lm.6" "MGS.igc0415" -0.571612903225806 0.0123225653067687 "liverfat" "Tyzzerella" "Negative" "MGS.igc0415:Tyzzerella"
"liverfat.lm.7" "MGS.igc0788" 0.0245161290322581 0.00420961175116726 "liverfat" "Massiliomicrobiota" "Positive" "MGS.igc0788:Massiliomicrobiota"
"liverfat.lm.8" "MGS.igc0858" 0.592258064516129 0.0129548965641383 "liverfat" "Dialister" "Positive" "MGS.igc0858:Dialister"
"liverfat.lm.9" "MGS.igc0913" -0.796129032258065 0.0033591509214633 "liverfat" "Faecalicoccus" "Negative" "MGS.igc0913:Faecalicoccus"
"liverfat.lm.10" "MGS.igc0987" 0.976774193548387 0.00420961175116726 "liverfat" "Coprobacillus" "Positive" "MGS.igc0987:Coprobacillus"
"liverfat.lm.11" "MGS.igc1264" 0.935483870967742 0.0765859661116837 "liverfat" "Unknown sp." "Positive" "MGS.igc1264:Unknown sp."
"ASAT.lm.1" "MGS.igc0128" 0.989677419354839 0.0673603816390878 "ASAT" "Lachnospiraceae sp." "Positive" "MGS.igc0128:Lachnospiraceae sp."
"ASAT.lm.2" "MGS.igc0294" 0.994838709677419 0.0604750806873008 "ASAT" "Dorea" "Positive" "MGS.igc0294:Dorea"
"ASAT.lm.3" "MGS.igc0468" 0.992258064516129 0.0765175759920908 "ASAT" "Fusicatenibacter" "Positive" "MGS.igc0468:Fusicatenibacter"
"ASAT.lm.4" "MGS.igc0617" 0.971612903225806 0.0604750806873008 "ASAT" "Bifidobacterium" "Positive" "MGS.igc0617:Bifidobacterium"
"ASAT.lm.5" "MGS.igc0639" -0.0116129032258064 0.0823242390155206 "ASAT" "Catenibacterium" "Negative" "MGS.igc0639:Catenibacterium"
"ASAT.lm.6" "MGS.igc1265" 0.966451612903226 0.00181005193849764 "ASAT" "Collinsella" "Positive" "MGS.igc1265:Collinsella"
