"mgs" "delta" "fdr" "association" "spps" "direction" "name"
"liverfat.lm.1" "MGS.igc0054" -0.478709677419355 0.0474252609189135 "liverfat" "Eisenbergiella massiliensis" "Negative" "MGS.igc0054:Eisenbergiella massiliensis"
"liverfat.lm.2" "MGS.igc0092" -0.718709677419355 0.0023039515907777 "liverfat" "Anaerostipes sp. 3_2_56FAA" "Negative" "MGS.igc0092:Anaerostipes sp. 3_2_56FAA"
"liverfat.lm.3" "MGS.igc0093" -0.765161290322581 0.0834174047474896 "liverfat" "Erysipelotrichaceae bacterium 3_1_53" "Negative" "MGS.igc0093:Erysipelotrichaceae bacterium 3_1_53"
"liverfat.lm.4" "MGS.igc0142" 0.99741935483871 0.010691816439225 "liverfat" "Blautia obeum" "Positive" "MGS.igc0142:Blautia obeum"
"liverfat.lm.5" "MGS.igc0190" 0.267096774193548 0.00630882129386482 "liverfat" "Lactococcus lactis" "Positive" "MGS.igc0190:Lactococcus lactis"
"liverfat.lm.6" "MGS.igc0294" 0.979354838709677 0.0214151502825506 "liverfat" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"liverfat.lm.7" "MGS.igc0373" -0.470967741935484 0.0151350086258219 "liverfat" "Veillonella sp." "Negative" "MGS.igc0373:Veillonella sp."
"liverfat.lm.8" "MGS.igc0393" 0.401290322580645 0.0151350086258219 "liverfat" "Clostridiaceae sp." "Positive" "MGS.igc0393:Clostridiaceae sp."
"liverfat.lm.9" "MGS.igc0415" -0.571612903225806 0.0151350086258219 "liverfat" "Tyzzerella nexilis" "Negative" "MGS.igc0415:Tyzzerella nexilis"
"liverfat.lm.10" "MGS.igc0507" 0.870967741935484 0.0825368036728438 "liverfat" "[Eubacterium] eligens" "Positive" "MGS.igc0507:[Eubacterium] eligens"
"liverfat.lm.11" "MGS.igc0788" -0.28258064516129 0.0151350086258219 "liverfat" "Massiliomicrobiota timonensis" "Negative" "MGS.igc0788:Massiliomicrobiota timonensis"
"liverfat.lm.12" "MGS.igc0858" 0.535483870967742 0.0152982044889901 "liverfat" "Dialister invisus" "Positive" "MGS.igc0858:Dialister invisus"
"liverfat.lm.13" "MGS.igc0874" 0.0270967741935484 0.010691816439225 "liverfat" "[Clostridium] spiroforme" "Positive" "MGS.igc0874:[Clostridium] spiroforme"
"liverfat.lm.14" "MGS.igc0889" 0.169032258064516 0.00449515485128644 "liverfat" "Coprobacillus sp. 8_1_38FAA" "Positive" "MGS.igc0889:Coprobacillus sp. 8_1_38FAA"
"liverfat.lm.15" "MGS.igc0913" -0.796129032258065 0.00345552000527577 "liverfat" "Faecalicoccus pleomorphus" "Negative" "MGS.igc0913:Faecalicoccus pleomorphus"
"liverfat.lm.16" "MGS.igc1264" 0.935483870967742 0.0834174047474896 "liverfat" "Unknown sp." "Positive" "MGS.igc1264:Unknown sp."
"liverfat.lm.17" "MGS.igc1298" -0.747096774193548 0.00717374089544104 "liverfat" "Gordonibacter sp. An232A" "Negative" "MGS.igc1298:Gordonibacter sp. An232A"
"hdl.lm.1" "MGS.igc0023" -0.406451612903226 0.0950750645570675 "hdl" "Bacteroides nordii" "Negative" "MGS.igc0023:Bacteroides nordii"
"hdl.lm.2" "MGS.igc0294" 0.979354838709677 0.095906446624794 "hdl" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"hdl.lm.3" "MGS.igc0388" 0.852903225806452 0.095906446624794 "hdl" "Clostridium phoceensis" "Positive" "MGS.igc0388:Clostridium phoceensis"
"ASAT.lm" "MGS.igc1265" 0.963870967741935 0.00121291260768288 "ASAT" "Collinsella aerofaciens" "Positive" "MGS.igc1265:Collinsella aerofaciens"
"Total.InsSecr.lm.1" "MGS.igc0074" -0.512258064516129 0.0269774807893548 "Total.InsSecr" "Blautia hydrogenotrophica" "Negative" "MGS.igc0074:Blautia hydrogenotrophica"
"Total.InsSecr.lm.2" "MGS.igc0128" 0.989677419354839 0.0897258302389186 "Total.InsSecr" "Lachnospiraceae sp." "Positive" "MGS.igc0128:Lachnospiraceae sp."
"Total.InsSecr.lm.3" "MGS.igc0275" 0.909677419354839 0.0586458822634918 "Total.InsSecr" "Gemmiger formicilis" "Positive" "MGS.igc0275:Gemmiger formicilis"
"Total.InsSecr.lm.4" "MGS.igc0294" 0.979354838709677 0.0854686361247175 "Total.InsSecr" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"Total.InsSecr.lm.5" "MGS.igc0468" 0.992258064516129 0.0897258302389186 "Total.InsSecr" "Fusicatenibacter saccharivorans" "Positive" "MGS.igc0468:Fusicatenibacter saccharivorans"
"Total.InsSecr.lm.6" "MGS.igc0756" 0.979354838709677 0.0854686361247175 "Total.InsSecr" "[Ruminococcus] torques" "Positive" "MGS.igc0756:[Ruminococcus] torques"
"Total.InsSecr.lm.7" "MGS.igc1180" 0.470967741935484 0.0269774807893548 "Total.InsSecr" "Collinsella sp." "Positive" "MGS.igc1180:Collinsella sp."
"Total.InsSecr.lm.8" "MGS.igc1330" 0.811612903225806 0.0854686361247175 "Total.InsSecr" "Adlercreutzia equolifaciens" "Positive" "MGS.igc1330:Adlercreutzia equolifaciens"
"Fast.Insulin.lm.1" "MGS.igc0053" 0.0838709677419355 0.0510652564984326 "Fast.Insulin" "[Clostridium] innocuum" "Positive" "MGS.igc0053:[Clostridium] innocuum"
"Fast.Insulin.lm.2" "MGS.igc0953" -0.785806451612903 0.0510652564984326 "Fast.Insulin" "Olsenella provencensis" "Negative" "MGS.igc0953:Olsenella provencensis"
"Fast.Insulin.lm.3" "MGS.igc1237" -0.705806451612903 0.0510652564984326 "Fast.Insulin" "Erysipelatoclostridium sp." "Negative" "MGS.igc1237:Erysipelatoclostridium sp."
"physical.lm.1" "MGS.igc0148" -0.352258064516129 0.0792048281494156 "physical" "Bacteroides coprocola" "Negative" "MGS.igc0148:Bacteroides coprocola"
"physical.lm.2" "MGS.igc0213" -0.723870967741935 0.0792048281494156 "physical" "Clostridia bacterium UC5.1-1E11" "Negative" "MGS.igc0213:Clostridia bacterium UC5.1-1E11"
"hscrp.lm.1" "MGS.igc0025" 0.0554838709677419 0.0383590519777402 "hscrp" "Eisenbergiella tayi" "Positive" "MGS.igc0025:Eisenbergiella tayi"
"hscrp.lm.2" "MGS.igc0095" 0.303225806451613 0.0521979993156102 "hscrp" "Bacteroides stercoris" "Positive" "MGS.igc0095:Bacteroides stercoris"
"hscrp.lm.3" "MGS.igc0376" -0.174193548387097 0.0163370040833109 "hscrp" "Phascolarctobacterium succinatutens" "Negative" "MGS.igc0376:Phascolarctobacterium succinatutens"
"hscrp.lm.4" "MGS.igc0432" -0.228387096774194 4.74636386906308e-06 "hscrp" "Alistipes sp. cv1" "Negative" "MGS.igc0432:Alistipes sp. cv1"
"hscrp.lm.5" "MGS.igc0824" -0.685161290322581 0.0143351813474621 "hscrp" "Parvimonas micra" "Negative" "MGS.igc0824:Parvimonas micra"
"hscrp.lm.6" "MGS.igc0842" -0.793548387096774 0.0460010701768165 "hscrp" "Prevotella stercorea" "Negative" "MGS.igc0842:Prevotella stercorea"
"hscrp.lm.7" "MGS.igc1303" -0.654193548387097 0.00615120140038052 "hscrp" "Catenibacterium mitsuokai" "Negative" "MGS.igc1303:Catenibacterium mitsuokai"
"OGIS.2h.lm" "MGS.igc0294" 0.979354838709677 0.0392497522476787 "OGIS.2h" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"totalGLP1.0.lm" "MGS.igc1155" 0.308387096774194 0.094188460234317 "totalGLP1.0" "Actinomyces sp. oral taxon 175" "Positive" "MGS.igc1155:Actinomyces sp. oral taxon 175"
"tg.lm.1" "MGS.igc0074" -0.512258064516129 0.0315829341370849 "tg" "Blautia hydrogenotrophica" "Negative" "MGS.igc0074:Blautia hydrogenotrophica"
"tg.lm.2" "MGS.igc0142" 0.99741935483871 0.0381800943024995 "tg" "Blautia obeum" "Positive" "MGS.igc0142:Blautia obeum"
"tg.lm.3" "MGS.igc0156" 0.992258064516129 0.0224403909548081 "tg" "[Eubacterium] hallii" "Positive" "MGS.igc0156:[Eubacterium] hallii"
"tg.lm.4" "MGS.igc0228" 0.971612903225806 0.0521696749611176 "tg" "Blautia massiliensis" "Positive" "MGS.igc0228:Blautia massiliensis"
"tg.lm.5" "MGS.igc0282" 0.956129032258065 0.0224403909548081 "tg" "Coprococcus comes" "Positive" "MGS.igc0282:Coprococcus comes"
"tg.lm.6" "MGS.igc0294" 0.979354838709677 0.0224403909548081 "tg" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"tg.lm.7" "MGS.igc0313" 0.749677419354839 0.0879631256417735 "tg" "Intestinibacter bartlettii" "Positive" "MGS.igc0313:Intestinibacter bartlettii"
"tg.lm.8" "MGS.igc0468" 0.992258064516129 0.0239174671430931 "tg" "Fusicatenibacter saccharivorans" "Positive" "MGS.igc0468:Fusicatenibacter saccharivorans"
"tg.lm.9" "MGS.igc0473" -0.692903225806452 0.0521696749611176 "tg" "Clostridium paraputrificum" "Negative" "MGS.igc0473:Clostridium paraputrificum"
"tg.lm.10" "MGS.igc0481" 0.963870967741935 0.0381800943024995 "tg" "Clostridiales bacterium KLE1615" "Positive" "MGS.igc0481:Clostridiales bacterium KLE1615"
"tg.lm.11" "MGS.igc0687" 0.987096774193548 0.0239174671430931 "tg" "[Eubacterium] rectale" "Positive" "MGS.igc0687:[Eubacterium] rectale"
