	E.rectale.1706.1708	M86	indolepropionate
IGR1	0	-0.03255814	-0.646132587
IGR2	1	0.034788979	1.485166275
IGR3	0	0.012909288	0.619848996
IGR4	1	-0.042109226	-0.979837205
IGR5	NA	0.025073196	1.053723063
IGR6	1	-0.028552946	-1.260521543
IGR7	NA	-0.031659005	-0.408974573
IGR8	0	-0.031513566	-0.322827638
IGR9	1	8.52E-05	0.406236743
IGR10	1	-0.06146361	-0.974564752
IGR11	1	0.030264836	0.877952666
IGR12	0	0.025985633	0.357150566
IGR13	1	0.040276389	0.813688676
IGR14	1	-0.017656525	-0.911424715
IGR15	0	0.043496247	-0.567970074
IGR16	1	0.016515498	-0.104648683
IGR17	1	0.016452439	-0.130794132
IGR18	1	-0.01326403	0.035036639
IGR19	1	0.050128985	0.764239599
IGR20	1	-0.017647104	-0.421332158
IGR21	0	-0.021811791	-1.625388
IGR22	1	0.013361711	0.497442082
IGR23	1	-0.033793225	-0.834123942
IGR24	1	0.043024259	0.277456653
IGR25	1	0.035950896	0.521006461
IGR26	1	-0.010174102	-0.448700305
IGR27	1	0.046478421	0.042419589
IGR28	1	-0.013820115	0.498175737
IGR29	NA	-0.009104353	-0.145984598
IGR30	0	-0.090528083	-1.511388121
IGR31	0	0.003136551	-0.477236209
IGR32	1	0.040827492	0.542986031
IGR33	NA	0.014594936	0.52753398
IGR34	1	0.029055409	0.418392729
IGR35	0	-0.011648579	-0.122987812
IGR36	1	0.020158334	0.980252244
IGR37	1	0.057133423	1.426617445
IGR38	1	0.019586178	0.174256199
IGR39	1	-0.022455695	-0.347487263
IGR40	0	0.031697995	0.391373868
IGR41	0	0.00592188	0.680107313
IGR42	1	0.056128913	0.498756852
IGR43	1	-0.018081375	-0.332613854
IGR44	0	-0.005776837	-0.422467777
IGR45	0	-7.41E-05	-0.140317776
IGR46	1	0.037224484	1.290950455
IGR47	1	0.023721954	-0.158682044
IGR48	NA	-0.038770684	-0.068673079
IGR49	1	-0.022480692	-0.992155306
IGR50	1	0.040568347	1.263068335
IGR51	1	0.021935662	1.085892805
IGR52	1	-0.021772488	-0.102837528
IGR53	1	-0.007053387	0.05671478
IGR54	1	0.013955238	0.501871429
IGR55	0	0.106291559	2.901884867
