"variable" "pval" "delta" "delta.low" "delta.up" "fdr"
"Height.cm" "0.198698195829918" "-0.0594301879167509" "-0.147532353815039" "0.0296076745355513" 0.33625848525063
"Weight.kg" "0.010816058116506" "-0.106001212366135" "-0.191419152445896" "-0.0189896912609842" 0.150364577701194
"Waist.cm" "0.0312381942155695" "-0.10720549605981" "-0.192898247865658" "-0.0198897995714856" 0.196354363640723
"Hip.cm" "0.00220591016049213" "-0.107157001414427" "-0.19297787723194" "-0.0197090458370808" 0.0970600470616537
"Waist.Hip" "0.797760471871514" "-0.0342129723176399" "-0.121564361090517" "0.0536642832545915" 0.893969194080931
"BMI" "0.0631517472147624" "-0.0754253384522126" "-0.161951628944357" "0.0122519114708849" 0.228862609430733
"Fasting.Glucose" "0.308503208689553" "-0.052422711658921" "-0.140008056982541" "0.0359766350139313" 0.452471372744678
"Basal.Glucose" "0.679500095142542" "-0.0359426146696302" "-0.124018028400397" "0.0526947164097562" 0.808054167196536
"Mean.Glucose" "0.0205042605956173" "-0.125108102646999" "-0.210532209827215" "-0.037787892100331" 0.150364577701194
"glucose.2h" "0.0497009453404289" "-0.100101030511214" "-0.187188061477172" "-0.0114527730762303" 0.228862609430733
"Fasting.Insulin" "0.163909324839985" "-0.103414831279046" "-0.189364498138908" "-0.0158924650813582" 0.290088875879445
"Basal.Insulin" "0.0955765582208804" "-0.0648777530814306" "-0.151194612153546" "0.0224209924813773" 0.252194305853324
"Mean.Insulin" "0.136538919041766" "-0.0751182056981208" "-0.1614820220938" "0.012387438587379" 0.289096703477378
"Basal.InsulinSecretion" "0.147748000002929" "-0.0791109315013134" "-0.16537635588603" "0.00835585243490565" 0.289096703477378
"Total.InsulinSecretion" "0.144342339188747" "-0.0572236815518287" "-0.143475218632962" "0.0298906085498815" 0.289096703477378
"Glucose.Sensitivity" "0.118335555588549" "0.0724025055566781" "-0.0153279717734058" "0.159026725877542" 0.277642785566022
"OGIS.2h" "0.039007335690616" "0.0862153970499091" "-0.00126894798751282" "0.17239006270849" 0.214540346298388
"Stumvoll" "0.017516397886812" "0.117712669226106" "0.0280436026517114" "0.205502421327528" 0.150364577701194
"Matsuda" "0.0136963915638351" "0.0940876944837341" "0.00673975474064318" "0.18001072634455" 0.150364577701194
"Clinsb" "0.0974387090796935" "0.0442675287936957" "-0.0419192320492924" "0.129800345736823" 0.252194305853324
"Clins" "0.0865588989258124" "0.0839199838351182" "-0.00424955895527017" "0.170794802459431" 0.252194305853324
"Active.GLP1.Conc.0m" "0.997464013862472" "0.0933602748029905" "0.0055527582551033" "0.179739117300146" 0.997464013862472
"Total.GLP1.Conc.0m" "0.479413246177465" "-0.0226469993938169" "-0.11050684660858" "0.0655640659913234" 0.620417142112014
"Total.GLP1.Conc.60m" "0.0524442197102967" "-0.0500949686805415" "-0.137915104591674" "0.0385067075401066" 0.228862609430733
"hsCRP" "0.242648183291741" "-0.0538452212568196" "-0.140131592314721" "0.0332528372346047" 0.387831147697545
"Fasting.HDL" "0.753169893902485" "-0.0137967266114367" "-0.101768635381036" "0.0743892899491379" 0.872091456097614
"Fasting.LDL" "0.866569236901316" "0.0136835724388765" "-0.0715600494581514" "0.098728757432845" 0.929976742040437
"Fasting.TG" "0.0147694993727775" "-0.0859244291776116" "-0.17347302257203" "0.00297156347040829" 0.150364577701194
"Fasting.ALT" "0.246801639443892" "-0.137126692261063" "-0.221635965828954" "-0.0505729217412669" 0.387831147697545
"Fasting.AST" "0.440023979109976" "0.0124065467771267" "-0.0755638789139571" "0.10018533781091" 0.586698638813301
"Fasting.Chol" "0.500805418478027" "-0.0146292180238432" "-0.099148803977944" "0.0700999404412645" 0.629583954658091
"Liver.Iron" "0.9431750562438" "0.0400727419680744" "-0.0469863642441028" "0.126527647981039" 0.965109359877377
"Panc.Iron" "0.812699267346301" "-0.0341806425540513" "-0.121416579290999" "0.0535792679067804" 0.893969194080931
"IAAT" "0.0676184982408985" "-0.101572034754496" "-0.186711690571664" "-0.0149180209283314" 0.228862609430733
"ASAT" "0.282260014187768" "-0.0523903818953324" "-0.140498723142903" "0.0365412410726787" 0.428256573250407
"TAAT" "0.0854075969256558" "-0.0955344514043241" "-0.182184680094406" "-0.00741181137277346" 0.252194305853324
"LiverFat.." "0.151118731363175" "-0.098686603354213" "-0.184287856756783" "-0.0115995085043562" 0.289096703477378
"PancreasFat.." "0.547952654849316" "-0.0286441705395029" "-0.114693449181803" "0.057831751631064" 0.669719911482497
"BP.S.Mean" "0.902155683524159" "0.0159385734491817" "-0.0712029114890725" "0.102838604238821" 0.94511547797769
"BP.D.Mean" "0.119891202858055" "0.0283127904627197" "-0.0603203864858969" "0.116502994052082" 0.277642785566022
"Value.vm.hpf.mean.BL" "0.3528954607291" "0.0492948070317236" "-0.0401602188252917" "0.137965907695379" 0.485231258502512
"HDI" "0.164823224931503" "0.0440331380076783" "-0.0430304966443768" "0.130433025794943" 0.290088875879445
"lifestyle" "0.339639328263033" "0.0341725601131542" "-0.0489972027534162" "0.116871691069168" 0.48206872398624
"bact.load" "0.065696136972365" "-0.0858759345322287" "-0.173784328014573" "0.00339025157241016" 0.228862609430733
