variable	pval	delta	delta.low	delta.up	fdr
Height.cm	0.281160851	-0.089655497	-0.188830679	0.011330084	0.317207114
Weight.kg	0.028422569	-0.185037023	-0.281736081	-0.084616948	0.044664037
Waist.cm	0.002382657	-0.226358559	-0.321585949	-0.126598125	0.005517733
Hip.cm	0.026740595	-0.086204192	-0.185369551	0.014699222	0.043577266
Waist.Hip	0.013359057	-0.229339232	-0.324254872	-0.129851878	0.026718114
BMI	0.001249346	-0.169741466	-0.267226802	-0.068816985	0.003435701
Fasting.Glucose	0.021067421	-0.213965236	-0.30950448	-0.114149311	0.03790865
Basal.Glucose	0.063531389	-0.162823168	-0.260254868	-0.062108955	0.083658532
Mean.Glucose	4.51E-05	-0.259726406	-0.353693556	-0.160569125	0.000350872
glucose.2h	0.035541712	-0.133675326	-0.23195126	-0.032698031	0.052127845
Fasting.Insulin	0.000976283	-0.164156627	-0.261614298	-0.063385317	0.002863765
Basal.Insulin	0.00649747	-0.070641943	-0.170494957	0.030647187	0.014294434
Mean.Insulin	0.001684726	-0.198983434	-0.295092782	-0.098887756	0.004118219
Basal.InsulinSecretion	0.000328058	-0.158367846	-0.256114072	-0.057415769	0.001312233
Total.InsulinSecretion	0.000161784	-0.195390939	-0.29153973	-0.095333441	0.00071185
Glucose.Sensitivity	0.147254697	0.10030748	-0.000662894	0.199253221	0.175113693
OGIS.2h	0.000141088	0.253921938	0.15437891	0.348361778	0.00071185
Stumvoll	0.000463212	0.200442395	0.100148682	0.296703793	0.001698446
Matsuda	3.92E-06	0.191280748	0.090936067	0.287780316	5.75E-05
Clinsb	0.043076598	-0.015923067	-0.116897883	0.08537758	0.059230322
Clins	0.000656902	0.180785643	0.080059806	0.277856742	0.002064548
Active.GLP1.Conc.0m	0.625401536	0.055220884	-0.04591942	0.155240539	0.639945758
Total.GLP1.Conc.0m	0.016567255	-0.171263178	-0.268689163	-0.070368498	0.031693879
Total.GLP1.Conc.60m	0.143543927	-0.080650728	-0.180224032	0.020558777	0.175113693
hsCRP	0.085273266	-0.056915161	-0.156749474	0.0440705	0.107200678
Fasting.HDL	0.387905969	0.014652359	-0.086100081	0.115108138	0.426696566
Fasting.LDL	0.447005335	0.058279995	-0.042849329	0.158227163	0.479713043
Fasting.TG	4.36E-05	-0.199250126	-0.295464627	-0.099034347	0.000350872
Fasting.ALT	4.78E-05	-0.41608622	-0.501894102	-0.322167734	0.000350872
Fasting.AST	0.604397683	0.006745733	-0.093848818	0.107203939	0.633178525
Fasting.Chol	0.866374212	0.011452058	-0.089271283	0.111943538	0.866374212
Liver.Iron	0.00737826	0.140421059	0.039669121	0.238346427	0.015459211
Panc.Iron	0.023727209	-0.187311747	-0.284296	-0.086532795	0.040153738
IAAT	3.08E-06	-0.302616717	-0.394654486	-0.204566529	5.75E-05
ASAT	0.064645229	-0.022966867	-0.123283827	0.077814732	0.083658532
TAAT	0.000146563	-0.195328188	-0.291701329	-0.095029123	0.00071185
LiverFat..	0.000605176	-0.147402108	-0.245324416	-0.046502343	0.002048289
PancreasFat..	1.45E-06	-0.242485567	-0.337274999	-0.142828694	5.75E-05
BP.S.Mean	0.222521557	-0.066845507	-0.166506628	0.034167532	0.25765654
BP.D.Mean	0.038606587	-0.203736822	-0.299991327	-0.103375565	0.054796446
Value.vm.hpf.mean.BL	0.001448614	0.130835843	0.029688144	0.229331215	0.003749354
HDI	0.03060331	0.10672377	0.006091208	0.205216359	0.046432609
lifestyle	0.000148399	0.15534011	0.061237351	0.246705669	0.00071185
bact.load	0.021539006	0.113485191	0.01246634	0.212210897	0.03790865
