	mgs	pval	delta	delta.low	delta.up	fdr	bacteria	genome	annotation
progression.1	[Eubacterium] rectale:394_396;396_397	0.618328166	0.186868687	0.006410549	0.35553939	0.94113184	[Eubacterium] rectale:394	657318.PRJNA39159	Genes_ 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;Transposase and inactivated derivatives
progression.2	[Eubacterium] rectale:1125_1130	0.151588789	0.227272727	0.046032529	0.394027146	0.652278403	[Eubacterium] rectale:1125	657318.PRJNA39159	Genes_ RecA-family ATPase;
progression.3	[Eubacterium] rectale:1132_1134	0.111296695	0.295138889	0.113262017	0.457877415	0.623086261	[Eubacterium] rectale:1132	657318.PRJNA39159	"Genes_ ;Site-specific recombinases, DNA invertase Pin homologs"
progression.4	[Eubacterium] rectale:1130_1132	0.284336575	0.22979798	0.047913899	0.39693189	0.778627063	[Eubacterium] rectale:1130	657318.PRJNA39159	"Genes_ ;RNA polymerase sigma factor, sigma-70 family"
progression.5	[Eubacterium] rectale:1102_1104	0.852177537	0.245265152	0.065324729	0.409757185	0.964337218	[Eubacterium] rectale:1102	657318.PRJNA39159	Genes_ DNA primase (bacterial type);plasmid mobilization system relaxase
progression.6	[Eubacterium] rectale:1104_1107	0.858546871	0.27114899	0.08797958	0.436581542	0.964337218	[Eubacterium] rectale:1104	657318.PRJNA39159	Genes_ plasmid mobilization system relaxase;
progression.7	[Eubacterium] rectale:1108_1109	0.598285384	0.235164141	0.058740362	0.397343015	0.927678461	[Eubacterium] rectale:1108	657318.PRJNA39159	"Genes_ Site-specific recombinases, DNA invertase Pin homologs"
progression.8	[Eubacterium] rectale:1114_1115;1115_1117;1117_1118	0.858308783	0.117108586	-0.058620963	0.285798503	0.964337218	[Eubacterium] rectale:1114	657318.PRJNA39159	"Genes_ Site-specific recombinase XerD;Helix-turn-helix.;DNA binding domain, excisionase family;MobA/MobL family."
progression.9	[Eubacterium] rectale:399_401;401_402	0.171226337	0.234848485	0.05327304	0.401391151	0.681612533	[Eubacterium] rectale:399	657318.PRJNA39159	"Genes_ Signal transduction histidine kinase;ABC-type multidrug transport system, ATPase component"
progression.10	[Eubacterium] rectale:398_399	0.135144984	0.254103535	0.072304985	0.419560157	0.630681872	[Eubacterium] rectale:398	657318.PRJNA39159	Genes_ unannotated
progression.11	[Eubacterium] rectale:2229_2230;2238_2240;2244_2245;2246_2247;2249_2250;2250_2251;2257_2258;2258_2260;2260_2262	0.03535113	0.291666667	0.111649386	0.453149899	0.588176301	[Eubacterium] rectale:2229	657318.PRJNA39159	"Genes_ DNA repair proteins;Type IV secretory pathway, VirD4 components;DNA methylase"
progression.12	[Eubacterium] rectale:2232_2233	0.028269437	0.32165404	0.14375923	0.479411466	0.588176301	[Eubacterium] rectale:2232	657318.PRJNA39159	Genes_ Cna protein B-type domain./Gram positive anchor.
progression.13	[Eubacterium] rectale:2237_2238	0.735437011	0.236111111	0.052835527	0.403998704	0.944033003	[Eubacterium] rectale:2237	657318.PRJNA39159	Genes_ Cna protein B-type domain./Gram positive anchor.;
progression.14	[Eubacterium] rectale:2242_2244	0.097700302	0.205176768	0.023581927	0.37366445	0.623086261	[Eubacterium] rectale:2242	657318.PRJNA39159	Genes_ unannotated
progression.15	[Eubacterium] rectale:1161_1163	0.517571383	0.206439394	0.024071221	0.375510513	0.900313245	[Eubacterium] rectale:1161	657318.PRJNA39159	Genes_ unannotated
progression.16	[Eubacterium] rectale:3343_3345	0.350306552	0.227588384	0.045115736	0.395364762	0.778627063	[Eubacterium] rectale:3343	657318.PRJNA39159	"Genes_ Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.;"
progression.17	[Eubacterium] rectale:1165_1166	0.387313689	0.235795455	0.052898815	0.403385997	0.810421341	[Eubacterium] rectale:1165	657318.PRJNA39159	Genes_ unannotated
progression.18	[Eubacterium] rectale:1168_1170	0.401646708	0.277777778	0.094681448	0.442695965	0.810421341	[Eubacterium] rectale:1168	657318.PRJNA39159	Genes_ unannotated
progression.19	[Eubacterium] rectale:1150_1152;1152_1154;1154_1155;1156_1157;1159_1160;2452_2453;2453_2454;2454_2455;2455_2456	0.072469144	0.166035354	-0.01446692	0.336057663	0.588176301	[Eubacterium] rectale:1150	657318.PRJNA39159	"Genes_ Site-specific recombinases, DNA invertase Pin homologs;Recombinase.;RNA polymerase sigma factor, sigma-70 family;Accessory gene regulator B.;Response regulator of the LytR/AlgR family;Helix-turn-helix.;Sel1 repeat."
progression.20	[Eubacterium] rectale:2943_2945;2945_2946	0.186086775	0.143623737	-0.03674691	0.3149318	0.692463672	[Eubacterium] rectale:2943	657318.PRJNA39159	Genes_ unannotated
progression.21	[Eubacterium] rectale:2940_2942	0.057564716	0.163194444	-0.01665975	0.332818833	0.588176301	[Eubacterium] rectale:2940	657318.PRJNA39159	Genes_ unannotated
progression.22	[Eubacterium] rectale:922_924	0.855974958	0.198863636	0.021232123	0.364324221	0.964337218	[Eubacterium] rectale:922	657318.PRJNA39159	"Genes_ Transposase and inactivated derivatives, IS30 family;"
progression.23	[Eubacterium] rectale:775_777;777_779;779_780	0.119488595	0.259469697	0.076958151	0.42515594	0.623086261	[Eubacterium] rectale:775	657318.PRJNA39159	"Genes_ Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain;Signal transduction histidine kinase;ABC-type antimicrobial peptide transport system, ATPase component;ABC-type transport system, involved in lipoprotein release, permease component"
