	mgs	pval	delta	delta.low	delta.up	fdr	bacteria	genome	annotation
progression.45	[Eubacterium] rectale:662_663	0.000328863	0.305555556	0.151676258	0.444974186	0.090641887	[Eubacterium] rectale:662	657318.PRJNA39159	Genes_ Predicted transcriptional regulators;Protein of unknown function (DUF3169).
progression.169	Faecalibacterium prausnitzii:571_573	0.000391373	-0.290777439	-0.438011013	-0.128351746	0.090641887	Faecalibacterium prausnitzii:571	748224.PRJNA46809	Genes_ unannotated
progression.428	Blautia obeum:1505_1506	0.000320825	0.287912088	0.117479858	0.441869439	0.090641887	Blautia obeum:1505	411459.PRJNA18147	"Genes_ ;site-specific recombinase, phage integrase family"
progression.911	Ruminococcus sp. SR1/5:689_690;3520_3521	0.000177987	0.265257353	0.126320785	0.393987355	0.090641887	Ruminococcus sp. SR1/5:689	657323.PRJNA39149	Genes_ Na+/proline symporter;dihydroneopterin aldolase/2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
progression.944	Ruminococcus sp. SR1/5:2319_2320	0.000189641	0.311029412	0.149067058	0.456739226	0.090641887	Ruminococcus sp. SR1/5:2319	657323.PRJNA39149	"Genes_ sortase, SrtB family;"
progression.676	Blautia wexlerae:4187_4189;4189_4191	0.000659327	0.169364882	0.050728043	0.28328841	0.127250064	Blautia wexlerae:4187	1121115.PRJNA195783	Genes_ NA
progression.161	Faecalibacterium prausnitzii:508_529;1500_1504;1504_1505;1508_1512;1512_1522;1522_1523	0.001531528	-0.234375	-0.382115037	-0.074952748	0.223033745	Faecalibacterium prausnitzii:508	748224.PRJNA46809	"Genes_ TraG/TraD family protein;phage terminase large subunit (GpA);phage portal protein, lambda family;putative endopeptidase Clp;putative phage major tail tube protein;phage tail tape measure protein, TP901 family;phage baseplate assembly protein V;baseplate J-like protein;phage tail protein I-like protein;resolvase, N-terminal domain protein;DNA-binding helix-turn-helix protein;SPFH/Band 7/PHB domain protein"
progression.168	Faecalibacterium prausnitzii:567_568	0.00154082	0.192073171	0.041951058	0.333714123	0.223033745	Faecalibacterium prausnitzii:567	748224.PRJNA46809	Genes_ Tat pathway signal sequence domain protein
progression.566	Blautia wexlerae:1370_1372	0.001889673	0.224712882	0.072538015	0.366663283	0.243137907	Blautia wexlerae:1370	1121115.PRJNA195783	Genes_ NA
progression.162	Faecalibacterium prausnitzii:529_530;538_539	0.003030058	-0.201981707	-0.356108169	-0.037156518	0.273361022	Faecalibacterium prausnitzii:529	748224.PRJNA46809	Genes_ phage tail protein I-like protein;peptidase M15
progression.569	Blautia wexlerae:1441_1451	0.002704866	0.176283382	0.026051396	0.318728521	0.273361022	Blautia wexlerae:1441	1121115.PRJNA195783	Genes_ NA
progression.904	Ruminococcus sp. SR1/5:449_450	0.00306882	0.127022059	-0.036568795	0.283982761	0.273361022	Ruminococcus sp. SR1/5:449	657323.PRJNA39149	Genes_ Site-specific recombinase XerD
progression.921	Ruminococcus sp. SR1/5:823_824;826_827;827_829;829_831;832_834;834_839;839_841;841_846;846_847	0.002378647	-0.218014706	-0.359990542	-0.066169724	0.273361022	Ruminococcus sp. SR1/5:823	657323.PRJNA39149	"Genes_ Bacterial Ig-like domain (group 2).;Bacterial Ig-like domain (group 2)./Bacterial Ig-like domain (group 3).;ABC-type cobalt transport system, ATPase component;MoxR-like ATPases;Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain);Transglutaminase-like enzymes, putative cysteine proteases"
progression.905	Ruminococcus sp. SR1/5:450_451;452_453	0.003625305	0.139522059	-0.018652553	0.290883302	0.299864504	Ruminococcus sp. SR1/5:450	657323.PRJNA39149	Genes_ Site-specific recombinase XerD
progression.189	Faecalibacterium prausnitzii:877_878	0.007413762	0.195503049	0.043251159	0.338880287	0.451849254	Faecalibacterium prausnitzii:877	748224.PRJNA46809	Genes_ unannotated
progression.583	Blautia wexlerae:2041_2043	0.006237368	0.180019372	0.029021806	0.322984339	0.451849254	Blautia wexlerae:2041	1121115.PRJNA195783	Genes_ NA
progression.650	Blautia wexlerae:3623_3625	0.00630168	0.093676491	-0.006998046	0.192471099	0.451849254	Blautia wexlerae:3623	1121115.PRJNA195783	Genes_ NA
progression.654	Blautia wexlerae:3715_3716	0.007208466	-0.145426871	-0.287570264	0.002984867	0.451849254	Blautia wexlerae:3715	1121115.PRJNA195783	Genes_ NA
progression.940	Ruminococcus sp. SR1/5:2174_2176;2176_2177	0.006753212	-0.127941176	-0.275505963	0.0255144	0.451849254	Ruminococcus sp. SR1/5:2174	657323.PRJNA39149	Genes_ unannotated
progression.531	Blautia wexlerae:664_665	0.007957948	0.196485402	0.045857533	0.338377094	0.460765198	Blautia wexlerae:664	1121115.PRJNA195783	Genes_ NA
progression.83	[Eubacterium] rectale:1706_1708;1711_1713	0.010180313	-0.154040404	-0.289132506	-0.012932764	0.481780445	[Eubacterium] rectale:1706	657318.PRJNA39159	Genes_ sugar (Glycoside-Pentoside-Hexuronide) transporter;AraC-type DNA-binding domain-containing proteins;SOS-response transcriptional repressors (RecA-mediated autopeptidases);Predicted transcriptional regulators
